user_id,product_id,event_type,event_timestamp,event_weight
u001,p001,purchase,2026-02-01,1.0
u001,p003,cart,2026-02-03,0.8
u001,p019,purchase,2026-02-10,1.0
u001,p002,view,2026-02-12,0.3
u001,p008,view,2026-03-05,0.2
u002,p004,purchase,2026-01-05,1.0
u002,p005,purchase,2026-01-07,1.0
u002,p006,cart,2026-01-08,0.8
u002,p014,view,2026-02-22,0.3
u003,p011,purchase,2026-03-01,1.0
u003,p012,cart,2026-03-02,0.8
u003,p009,view,2026-03-10,0.3
u003,p017,purchase,2026-03-12,1.0
u004,p007,purchase,2026-02-14,1.0
u004,p013,view,2026-02-20,0.3
u004,p016,cart,2026-02-21,0.8
u004,p020,purchase,2026-03-15,1.0
